Employment,Country,AISearchDevAdmired
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Austria,ChatGPT;GitHub Copilot;WolframAlpha
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha
"Independent contractor, freelancer, or self-employed",Mexico,NA
"Employed, full-time",United Republic of Tanzania,ChatGPT;Google Gemini
"Employed, full-time",Ireland,ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode
I prefer not to say,United States of America,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Japan,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed;Employed, part-time",Austria,ChatGPT
"Employed, full-time",India,ChatGPT;Perplexity AI
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude;Google Gemini;Lightning AI;Meta AI;OpenAI Codex;Phind;Tabnine
"Independent contractor, freelancer, or self-employed",United States of America,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Sweden,GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Visual Studio Intellicode
"Student, part-time",Hungary,Phind
"Not employed, and not looking for work",United States of America,Perplexity AI
"Employed, full-time",Argentina,NA
"Student, full-time",Sweden,NA
"Independent contractor, freelancer, or self-employed",Pakistan,NA
"Not employed, but looking for work",India,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Italy,ChatGPT;Google Gemini
"Employed, full-time",India,NA
"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",Australia,NA
"Employed, full-time",United States of America,Bing AI
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Croatia,ChatGPT;Codeium;Google Gemini;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Turkey,NA
"Not employed, and not looking for work",Finland,ChatGPT
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Independent contractor, freelancer, or self-employed",Portugal,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",Netherlands,NA
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time",Sri Lanka,ChatGPT;Cody;Google Gemini
"Employed, full-time",United States of America,ChatGPT;WolframAlpha
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",Latvia,NA
"Employed, full-time",Sri Lanka,AskCodi;ChatGPT;Claude;Codeium;Quora Poe
"Employed, full-time",Portugal,NA
"Employed, full-time",India,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,WolframAlpha;Visual Studio Intellicode
"Student, full-time",China,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Singapore,ChatGPT
"Employed, full-time",China,ChatGPT;Google Gemini
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Lebanon,ChatGPT;Perplexity AI
"Employed, full-time",United States of America,Bing AI;GitHub Copilot;WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Romania,ChatGPT;GitHub Copilot
"Employed, full-time",Philippines,NA
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,WolframAlpha
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Spain,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Not employed, but looking for work",Germany,Codeium
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time;Student, part-time",Portugal,ChatGPT
"Independent contractor, freelancer, or self-employed",Poland,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United States of America,ChatGPT;Google Gemini;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Canada,NA
"Employed, full-time",Hungary,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha
"Employed, part-time",France,NA
"Employed, full-time",Russian Federation,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",Canada,GitHub Copilot
"Independent contractor, freelancer, or self-employed",Czech Republic,NA
"Employed, full-time",Canada,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Bulgaria,ChatGPT;Google Gemini
"Student, full-time;Independent contractor, freelancer, or self-employed",Bulgaria,NA
"Employed, full-time",Portugal,ChatGPT;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Portugal,NA
"Employed, full-time",Switzerland,Codeium
"Employed, full-time",India,NA
"Student, full-time;Employed, part-time",South Africa,ChatGPT;GitHub Copilot;Tabnine
"Employed, full-time",United States of America,Bing AI;ChatGPT
"Student, full-time;Employed, part-time",Germany,ChatGPT
"Student, full-time;Not employed, but looking for work",United States of America,NA
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Lithuania,NA
"Employed, full-time",France,ChatGPT;Codeium
"Employed, full-time",Netherlands,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",France,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Viet Nam,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",Ireland,NA
"Employed, full-time",Dominican Republic,Google Gemini
"Employed, full-time",United States of America,NA
"Student, full-time",Indonesia,Bing AI
"Employed, full-time",Brazil,ChatGPT;Google Gemini
"Employed, part-time",France,GitHub Copilot;Visual Studio Intellicode
"Student, full-time;Not employed, but looking for work",India,ChatGPT;Google Gemini
"Employed, full-time",Germany,NA
"Employed, full-time",Viet Nam,NA
"Employed, full-time",France,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;WolframAlpha
"Employed, full-time",Germany,NA
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Ireland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Serbia,NA
"Employed, full-time",India,ChatGPT;Google Gemini
"Employed, full-time",Ukraine,ChatGPT;Google Gemini
"Employed, full-time",Bulgaria,Phind
"Independent contractor, freelancer, or self-employed",India,ChatGPT
"Independent contractor, freelancer, or self-employed",Croatia,NA
"Employed, full-time",Romania,ChatGPT;GitHub Copilot
"Employed, full-time",Poland,NA
"Independent contractor, freelancer, or self-employed",Kosovo,GitHub Copilot
"Not employed, but looking for work",Australia,ChatGPT
"Employed, full-time",Romania,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, full-time",Morocco,ChatGPT;Google Gemini
"Employed, full-time",India,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",France,ChatGPT;Google Gemini
"Employed, full-time",Germany,NA
"Student, full-time",Netherlands,ChatGPT;GitHub Copilot
"Student, full-time",Greece,GitHub Copilot;WolframAlpha
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",Taiwan,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,WolframAlpha
"Employed, full-time",Sweden,NA
"Employed, full-time",Switzerland,ChatGPT
"Employed, full-time",France,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",France,ChatGPT
"Employed, full-time",Georgia,ChatGPT
"Employed, full-time",Brazil,NA
"Not employed, and not looking for work",Netherlands,NA
"Employed, full-time",France,NA
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Austria,ChatGPT
"Not employed, and not looking for work",United States of America,NA
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Austria,ChatGPT
"Employed, full-time",Turkey,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
I prefer not to say,Germany,ChatGPT
"Employed, full-time",Lithuania,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Russian Federation,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Employed, full-time",San Marino,ChatGPT;Google Gemini
"Not employed, and not looking for work",Indonesia,ChatGPT;Quora Poe
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",United States of America,NA
"Student, part-time;Employed, part-time",Switzerland,ChatGPT
"Employed, full-time",Poland,NA
"Student, full-time;Not employed, but looking for work",United States of America,NA
"Employed, full-time;Employed, part-time",Tunisia,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",Poland,NA
"Student, full-time;Not employed, but looking for work",United States of America,ChatGPT;Claude
"Employed, full-time;Independent contractor, freelancer, or self-employed",Romania,NA
"Employed, full-time",Greece,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Germany,Phind
"Independent contractor, freelancer, or self-employed",Tunisia,NA
"Student, full-time",India,NA
"Employed, full-time",Turkey,Codeium
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Russian Federation,NA
"Employed, full-time",Bangladesh,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Japan,NA
"Not employed, and not looking for work",Canada,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Nigeria,NA
"Employed, full-time",France,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Switzerland,NA
"Independent contractor, freelancer, or self-employed",Poland,NA
"Employed, full-time;Student, full-time",United States of America,ChatGPT;GitHub Copilot
"Student, full-time;Not employed, and not looking for work",India,Bing AI;ChatGPT;Google Gemini;Replit Ghostwriter;You.com
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Not employed, but looking for work",Ukraine,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Canada,NA
"Employed, full-time",Germany,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",Bangladesh,ChatGPT;Google Gemini
"Employed, full-time",Liechtenstein,NA
"Employed, full-time",Portugal,GitHub Copilot
"Not employed, but looking for work",Denmark,NA
"Employed, full-time",Canada,NA
"Employed, full-time",India,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",France,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Switzerland,ChatGPT
"Not employed, but looking for work",United States of America,Visual Studio Intellicode
"Student, full-time;Not employed, and not looking for work",Republic of North Macedonia,ChatGPT;WolframAlpha;Tabnine
"Employed, full-time",Spain,NA
"Employed, full-time",United States of America,NA
"Employed, part-time",Russian Federation,ChatGPT;Codeium
"Employed, full-time",United States of America,NA
"Employed, full-time",Switzerland,NA
I prefer not to say,Pakistan,ChatGPT;Phind
"Employed, full-time",Italy,ChatGPT;GitHub Copilot
"Student, part-time;Employed, part-time",Italy,ChatGPT;GitHub Copilot;Visual Studio Intellicode
Retired,United Kingdom of Great Britain and Northern Ireland,WolframAlpha
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Sweden,NA
"Employed, full-time",Pakistan,ChatGPT;Codeium
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Portugal,GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time",United States of America,ChatGPT;Claude
"Independent contractor, freelancer, or self-employed",Germany,ChatGPT;Cody;GitHub Copilot
"Employed, full-time;Employed, part-time",Viet Nam,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",India,ChatGPT
"Employed, full-time",France,NA
"Employed, full-time",France,NA
"Employed, full-time",Belgium,ChatGPT;GitHub Copilot
"Student, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Romania,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,AskCodi;Bing AI;Codeium
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Russian Federation,NA
"Student, full-time",United States of America,ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Not employed, but looking for work",Brazil,ChatGPT;WolframAlpha
"Employed, full-time",Australia,NA
Retired,Germany,ChatGPT;WolframAlpha;Tabnine;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",United States of America,Google Gemini
"Employed, full-time",Spain,NA
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time",Ecuador,ChatGPT
"Employed, full-time",Turkey,Codeium;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Mexico,NA
"Employed, full-time",Austria,NA
"Student, full-time",Germany,ChatGPT;Phind
"Student, part-time;Employed, part-time",France,NA
"Employed, full-time",Brazil,ChatGPT
"Employed, full-time",Greece,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Turkey,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",France,NA
"Not employed, but looking for work",India,NA
"Employed, full-time",Italy,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",France,NA
"Employed, full-time",France,ChatGPT
"Employed, full-time",France,NA
"Independent contractor, freelancer, or self-employed",Spain,ChatGPT
"Employed, full-time;Student, part-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Germany,Bing AI;ChatGPT;GitHub Copilot;Phind
"Employed, full-time",India,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",Bangladesh,ChatGPT
"Employed, full-time",India,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude
"Not employed, but looking for work",Algeria,ChatGPT
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,ChatGPT
"Not employed, and not looking for work",Malaysia,NA
"Employed, full-time",Italy,NA
"Employed, full-time",Serbia,NA
"Employed, full-time",Bulgaria,NA
"Employed, full-time",Albania,ChatGPT;Google Gemini
"Employed, full-time",Italy,NA
"Employed, full-time",Israel,ChatGPT;Claude
"Employed, full-time",India,Google Gemini;Replit Ghostwriter
"Employed, full-time",Spain,Bing AI;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",France,NA
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Independent contractor, freelancer, or self-employed;Employed, part-time",Italy,Bing AI;ChatGPT;Claude;Google Gemini;Whispr AI
"Employed, full-time",United States of America,ChatGPT;Claude;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Romania,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Greece,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Brazil,GitHub Copilot
"Employed, full-time",Germany,ChatGPT
"Independent contractor, freelancer, or self-employed",Philippines,ChatGPT;Claude;Google Gemini;Perplexity AI;WolframAlpha
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time;Independent contractor, freelancer, or self-employed",Portugal,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Italy,NA
"Employed, full-time",Germany,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time;Student, full-time",Ukraine,NA
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Google Gemini
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",Sweden,ChatGPT
"Independent contractor, freelancer, or self-employed;Student, part-time",United States of America,ChatGPT;Codeium;Google Gemini;Meta AI;Visual Studio Intellicode;You.com
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time",Switzerland,ChatGPT;GitHub Copilot;Google Gemini;Meta AI
"Employed, full-time",India,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Italy,NA
"Employed, full-time",Italy,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Student, full-time;Not employed, but looking for work",India,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",Turkey,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT
"Employed, full-time;Student, part-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",Russian Federation,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
I prefer not to say,Azerbaijan,Meta AI
"Employed, full-time;Independent contractor, freelancer, or self-employed",South Africa,Bing AI;GitHub Copilot
"Employed, full-time;Student, part-time",Chile,Google Gemini;Quora Poe;You.com
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",France,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Czech Republic,NA
"Employed, full-time",France,NA
"Employed, full-time;Student, full-time",Lebanon,NA
"Employed, full-time",Canada,ChatGPT;GitHub Copilot;WolframAlpha
"Employed, full-time",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;Google Gemini;Visual Studio Intellicode
"Student, part-time;Employed, part-time",Germany,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Italy,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",Germany,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;Perplexity AI
"Student, full-time;Not employed, but looking for work",Bulgaria,ChatGPT
"Employed, full-time","Iran, Islamic Republic of...",Bing AI
"Employed, full-time",Mexico,NA
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Ghana,Amazon Q;ChatGPT;Meta AI
"Not employed, and not looking for work",Netherlands,NA
"Student, full-time;Independent contractor, freelancer, or self-employed",Italy,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Sweden,ChatGPT;Codeium
"Employed, full-time",Brazil,ChatGPT
"Independent contractor, freelancer, or self-employed","Iran, Islamic Republic of...",Codeium
"Employed, full-time;Student, full-time",Canada,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Ukraine,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,NA
"Not employed, but looking for work",France,Google Gemini;Phind
"Employed, full-time",Russian Federation,NA
"Employed, full-time",Germany,ChatGPT;Visual Studio Intellicode
"Employed, part-time",Italy,NA
"Independent contractor, freelancer, or self-employed",France,GitHub Copilot
"Employed, full-time",Canada,NA
"Employed, full-time",Israel,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",India,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Dominican Republic,NA
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Employed, full-time",Turkey,NA
"Employed, full-time",Ukraine,ChatGPT;Google Gemini
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Ukraine,ChatGPT
"Student, part-time",France,NA
"Independent contractor, freelancer, or self-employed",Germany,NA
